link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
127035,B,25,0.11941472544,0.0497561356,"11 Other Local, Neighborhood, Rural Roads",NA,124526,124505,Local,1,25,None,Suburban,level,800
127043,B,25,0.3174957612,0.1322899005,"11 Other Local, Neighborhood, Rural Roads",NA,135847,135841,Local,1,25,None,Suburban,level,800
127049,B,25,0.32898140016000005,0.1370755834,"11 Other Local, Neighborhood, Rural Roads",NA,129767,129769,Local,1,25,None,Suburban,level,800
127060,B,25,0.08112619776,0.0338025824,"11 Other Local, Neighborhood, Rural Roads",NA,129316,129315,Local,1,25,None,Suburban,level,800
127068,B,25,0.1964065692,0.0818360705,"11 Other Local, Neighborhood, Rural Roads",NA,119490,119491,Local,1,25,None,Suburban,level,800
127072,B,25,0.14862871152,0.0619286298,10 Other Federal Aid Eligible Local Roads,500,127757,127568,Local,1,25,None,Suburban,level,800
127082,B,25,0.06485733216,0.0270238884,"11 Other Local, Neighborhood, Rural Roads",NA,121402,121405,Local,1,25,None,Suburban,level,800
127083,B,25,0.05473212312,0.0228050513,"11 Other Local, Neighborhood, Rural Roads",NA,121538,121589,Local,1,25,None,Suburban,level,800
127087,B,25,0.26102419584,0.1087600816,"11 Other Local, Neighborhood, Rural Roads",NA,120520,120532,Local,1,25,None,Suburban,level,800
127127,B,25,0.11036193816,0.0459841409,"11 Other Local, Neighborhood, Rural Roads",NA,126361,126075,Local,1,25,None,Suburban,level,800
127132,B,25,0.11692059119999999,0.048716913,"11 Other Local, Neighborhood, Rural Roads",NA,126324,126221,Local,1,25,None,Suburban,level,800
127141,B,25,0.11928855768,0.0497035657,"11 Other Local, Neighborhood, Rural Roads",NA,121014,121016,Local,1,25,None,Suburban,level,800
127142,B,25,0.27275738112,0.1136489088,"11 Other Local, Neighborhood, Rural Roads",NA,126592,126591,Local,1,25,None,Suburban,level,800
127147,B,25,0.30061472159999997,0.125256134,"11 Other Local, Neighborhood, Rural Roads",NA,112260,111834,Local,1,25,None,Suburban,level,800
127148,B,25,0.05756400264,0.0239850011,"11 Other Local, Neighborhood, Rural Roads",NA,130089,130092,Local,1,25,None,Suburban,level,800
127161,B,25,0.0653192004,0.0272163335,"11 Other Local, Neighborhood, Rural Roads",NA,124971,124905,Local,1,25,None,Suburban,level,800
127183,B,25,0.10176338855999999,0.0424014119,"11 Other Local, Neighborhood, Rural Roads",NA,126214,126133,Local,1,25,None,Suburban,level,800
127193,B,25,0.17149865544,0.0714577731,"8 Major Local Roads, Paved",12000,123084,123077,MinArterial,2,30,NonRestrictive,Suburban,level,1800
127201,B,25,0.15955307616,0.0664804484,"11 Other Local, Neighborhood, Rural Roads",NA,130614,130619,Local,1,25,None,Suburban,level,800
127208,B,25,0.0861315612,0.0358881505,"11 Other Local, Neighborhood, Rural Roads",NA,128165,128306,Local,1,25,None,Suburban,level,800
127228,B,25,0.24189189983999998,0.1007882916,"11 Other Local, Neighborhood, Rural Roads",NA,119733,119685,Local,1,25,None,Suburban,level,800
127230,B,25,0.11528456112,0.0480352338,10 Other Federal Aid Eligible Local Roads,4500,121692,121693,Local,1,25,None,Suburban,level,800
127242,B,25,0.9921692323199999,0.4134038468,"11 Other Local, Neighborhood, Rural Roads",NA,135906,136009,Local,1,25,None,Suburban,level,800
127245,B,25,0.25044267792,0.1043511158,10 Other Federal Aid Eligible Local Roads,5000,120924,120460,Local,1,25,None,Suburban,level,800
127256,B,25,0.14242018512000001,0.0593417438,"11 Other Local, Neighborhood, Rural Roads",NA,121437,121245,Local,1,25,None,Suburban,level,800
127267,B,25,0.65751559992,0.2739648333,"11 Other Local, Neighborhood, Rural Roads",NA,127941,127813,Local,1,25,None,Suburban,level,800
127272,B,25,0.06027795792,0.0251158158,"5 Major State Highways, Unseparated",10000,123462,122919,PrArterial,2,45,NonRestrictive,Suburban,level,2160
